# The nightly's shards (D-064): every test of ananke-sim's integration binaries, sim/tests/*.rs,
# assigned to one of six shards, each a job of its own. The weight is the test's CPU seconds
# (user + sys) at ANANKE_SEEDS=1000 and ANANKE_DEEP_SEEDS=100, run alone in release, measured on
# fc75f68 on an 8-core Apple machine; the assignment is longest-first into the lightest shard, so
# the shards carry equal weight. Everything outside these binaries runs in the `rest` job.
# scripts/check-nightly-shards.sh, part of the gate, fails when a test here does not exist, is
# listed twice, or when a test of these binaries is in no shard: a new sweep names its shard here
# in the commit that adds it.
# Rows added since fc75f68 are weighed the same way on the tree that adds them and placed
# longest-first into the lightest shard; the rows before them keep fc75f68's weights. D-068's
# four were weighed on its tree, on an idle machine, on their high-rate share. D-069 renamed
# seed 158's pin and added seed 102's, both weighed on its tree; the renamed row keeps its
# shard and the new one went to the lightest, which was the same shard 6.
# D-078 added one row, weighed on its tree at ANANKE_SEEDS=1000 ANANKE_DEEP_SEEDS=100 in
# release, alone in the command but with other agents' slices building on the same laptop
# (load average 69.71/57.02/39.49): 48.20 user + 2.46 sys = 50.7 cpu s. Shards 5 and 6 were
# the lightest at 1242.0 and it went to the lower-numbered of the two.
#
# shard	binary	cpu_s	test
# shard 1: 1278.5 cpu s
4	raft	107.1	a_server_that_counts_one_majority_in_joint_consensus_is_caught
4	raft	3.7	the_nightlys_eleven_variant_catches_of_the_trace_timestamp_gap_are_not_catches
4	raft	0.3	seed_119_which_pinned_the_refusal_that_is_not_durable_before_the_layout_refuses_nothing
4	raft	0.2	seed_2023_which_the_nightly_failed_on_a_trace_timestamp_no_longer_straddles_an_isolation
4	wal	36.9	the_correct_log_passes_every_seed
4	wal	0.2	the_seed_42_trace_is_written_for_the_studio
# shard 5: 1292.7 cpu s
5	echo	6.0	every_seed_satisfies_the_invariants_and_the_sweep_exercises_the_disk_faults
5	engine	19.5	a_seek_that_counts_tombstones_is_caught
5	raft	332.9	a_term_change_stepped_inside_an_isolation_from_a_message_received_before_it_is_excused
5	raft	304.8	the_correct_leader_steps_down_on_a_blocked_reseed_and_commits_through_an_open_one
5	raft	252.2	a_server_without_pre_vote_is_caught
5	raft	187.0	a_leader_that_commits_an_older_terms_entry_by_count_is_caught
5	raft	139.6	the_correct_server_passes_the_membership_scenario_on_every_seed
5	raft	50.7	a_server_that_applies_before_commit_compacts_past_its_commit_index
# shard 6: 1242.0 cpu s
6	echo	0.1	a_busy_looping_task_fails_the_scenario_instead_of_hanging
6	engine	310.3	an_engine_that_acknowledges_before_the_log_is_caught
6	engine	204.5	an_engine_that_releases_a_memtable_before_the_manifest_is_caught
6	engine	39.2	a_range_delete_that_skips_the_memtables_is_caught
6	engine	0.3	the_seed_42_trace_is_written_for_the_studio
6	raft	311.9	the_correct_server_passes_every_seed
6	raft	266.4	a_server_whose_adoption_is_as_built_is_caught
6	raft	62.5	a_server_that_applies_before_commit_is_caught
6	raft	8.7	the_nightlies_removed_catches_meet_the_sweeps_assertions
6	raft	0.7	seed_680_which_pinned_the_combined_variant_before_d056_no_longer_wedges
6	raft	0.7	seed_2605_which_the_nightly_found_is_an_adoption_window_and_still_catches_the_variant
6	raft	0.6	same_seed_gives_byte_identical_trace
6	raft	0.4	seed_1_of_the_term_raise_schedule_now_straddles_its_isolations_by_decision_time
6	raft	0.4	seed_158_which_pinned_the_refusal_that_is_not_durable_before_the_read_moved_loses_nothing
6	raft	0.2	seed_102_pins_the_refusal_that_is_not_durable_which_a_hundred_seeds_can_miss
6	raft	0.2	seed_4_of_the_term_raise_schedule_steps_a_message_received_before_its_isolation
6	raft	0.2	seed_7381_which_the_first_nightly_found_stays_green
6	wal	34.4	a_log_that_skips_sync_dir_on_rotation_is_caught
6	wal	0.3	same_seed_gives_byte_identical_trace
